Serial,direccion,Dirección del Inmueble,Colonia,Estado,Código postal
539,"Bodas de figaro 70 D-002, Ciudad de México",Bodas de figaro 70 D-002,Miguel Hidalgo,Ciudad de México,13200
540,"Puebla 69 roma norte, Cuauhtemoc, CDMX, Ciudad de México","Puebla 69 roma norte, Cuauhtemoc, CDMX",Roma Norte,Ciudad de México,6760
542,"Calle Olmos No. 35C, Ciudad de México",Calle Olmos No. 35C,"Ampliación San Marcos Norte, Xochimilco",Ciudad de México,16038
544,"Av Michoacán 43, Ciudad de México",Av Michoacán 43,Hipódromo Condesa,Ciudad de México,6100
545,"Cerrada de Eugenia 22, Ciudad de México",Cerrada de Eugenia 22,Del Valle,Ciudad de México,3100
546,"Tabasco 116 Colonia Roma Norte, CDMX, Ciudad de México","Tabasco 116 Colonia Roma Norte, CDMX",Roma Norte,Ciudad de México,6700
547,"Miravalle 915, Ciudad de México",Miravalle 915,Miravalle,Ciudad de México,3580
548,"Unidad habitacional plateros. Edificio G18, Ciudad de México",Unidad habitacional plateros. Edificio G18,Lomas de plateros,Ciudad de México,1480
549,"topilejo 5, Ciudad de México",topilejo 5,molino del rey,Ciudad de México,11040
551,"Huitzilihuitl Manzana 13 lote 5, Ciudad de México",Huitzilihuitl Manzana 13 lote 5,Santa Isabel Tola,Ciudad de México,7010
553,"Mitla 424, Ciudad de México",Mitla 424,VERTIZ NARVARTE,Ciudad de México,3600
555,"Avenida Coyoacán 1435 edificio A dpto. 136, Ciudad de México",Avenida Coyoacán 1435 edificio A dpto. 136,Del Valle Sur,Ciudad de México,3104
556,"Chiapas, 157bis, Ciudad de México","Chiapas, 157bis",Roma Norte,Ciudad de México,6700
557,"Gabriel mancera 1447 colonia del valle esquina felix cuevas, Ciudad de México",Gabriel mancera 1447 colonia del valle esquina felix cuevas,Del Valle,Ciudad de México,3100
558,"Poniente 81 #28, Ciudad de México",Poniente 81 #28,Cove,Ciudad de México,1120
559,"Av. Río Churubusco 353, Ciudad de México",Av. Río Churubusco 353,Pedro general anaya,Ciudad de México,3340
561,"Durango 310, Ciudad de México",Durango 310,Roma Norte,Ciudad de México,6700
562,"Juan Enriquez, #18, Ciudad de México","Juan Enriquez, #18",Juan escutia,Ciudad de México,9100
563,"Centenario 86, Ciudad de México",Centenario 86,San Simón Ticumac,Ciudad de México,3660
564,"Av Ing Eduardo Molina num 2169, Ciudad de México",Av Ing Eduardo Molina num 2169,NUEVA ATZACOALCO,Ciudad de México,7420
565,"Rio Grijalva 10, Ciudad de México",Rio Grijalva 10,CUAUHTEMOC,Ciudad de México,6500
566,"Miguel Dominguez #25, Ciudad de México",Miguel Dominguez #25,Morelos,Ciudad de México,15270
567,"Atlixco 54, Ciudad de México",Atlixco 54,Condesa,Ciudad de México,6140
568,"Alcanfor mz. 47 lt. 4, Ciudad de México",Alcanfor mz. 47 lt. 4,El molino San lorenzo Tezonco,Ciudad de México,9960
569,"Porfirio Díaz #19 edf E depto 402, col. Jardines de Atizapán, Atizapán de Zaragoza, Cp 52900, estado de México., Estado de México","Porfirio Díaz #19 edf E depto 402, col. Jardines de Atizapán, Atizapán de Zaragoza, Cp 52900, estado de México.",Jardines de Atizapán,Estado de México,52900
570,"Avenida División del Norte #3392, Ciudad de México",Avenida División del Norte #3392,Xotepingo,Ciudad de México,4610
571,"TAURO 139, Ciudad de México",TAURO 139,PRADO CHURUBUSCO,Ciudad de México,4230
572,"Avenida División del Norte 3388, Colonia Xotepingo, CP 04610, Ciudad de México, -","Avenida División del Norte 3388, Colonia Xotepingo, CP 04610, Ciudad de México",-,-,-
573,"Av. Sor Juana 10 Edif. Fresno B Depto. 31, Estado de México",Av. Sor Juana 10 Edif. Fresno B Depto. 31,Tlalnepantla Centro,Estado de México,54000
574,"Artemio del Valle Arizpe, 14, Ciudad de México","Artemio del Valle Arizpe, 14",Del Valle,Ciudad de México,3100
575,"Periférico sur 7650, Ciudad de México",Periférico sur 7650,INFONAVIT Cuemanco,Ciudad de México,14336
577,"Insurgentes sur 1650-705, Ciudad de México",Insurgentes sur 1650-705,Florida,Ciudad de México,1030
578,"SUR 111, 235, Ciudad de México","SUR 111, 235",HEROES DE CHURUBUSCO,Ciudad de México,9090
580,"Emiliano zapata no. 66, Ciudad de México",Emiliano zapata no. 66,SAN JUAN TEPEPAN,Ciudad de México,16020
581,"Pino mz. 33 lt.18, Ciudad de México",Pino mz. 33 lt.18,El molino San lorenzo Tezonco,Ciudad de México,9960
582,"Adolfo Prieto 1384 entre San Lorenzo y Miguel Laurent, Ciudad de México",Adolfo Prieto 1384 entre San Lorenzo y Miguel Laurent,Colonia Del Valle,Ciudad de México,3100
583,"Río nazas 65, Ciudad de México",Río nazas 65,CUAUHTEMOC,Ciudad de México,6500
584,"Sur 89 número 235, Ciudad de México",Sur 89 número 235,Cacama,Ciudad de México,9090
585,"Revolución # 14, Ciudad de México",Revolución # 14,Emiliano Zapata,Ciudad de México,56608
586,"GABRIEL MANCERA 1654, Ciudad de México",GABRIEL MANCERA 1654,Del Valle,Ciudad de México,3100
587,"Avenida Peralvillo 22 Edificio D 201, Ciudad de México",Avenida Peralvillo 22 Edificio D 201,Morelos,Ciudad de México,6200
588,"Calle 12 Mz 9 Lt 21, Estado de México",Calle 12 Mz 9 Lt 21,Villa de guadalupe xalostoc,Estado de México,55339
589,"Avenida ribera de San Cosme 106, Ciudad de México",Avenida ribera de San Cosme 106,SAN RAFAEL,Ciudad de México,6470
590,"Avenida Coyoacán 704 interior 304, Ciudad de México",Avenida Coyoacán 704 interior 304,Del Valle,Ciudad de México,3100
591,"Guanajuato 209, Ciudad de México",Guanajuato 209,Roma Norte,Ciudad de México,6700
593,"Sur 73 #4439, Ciudad de México",Sur 73 #4439,VIADUCTO PIEDAD,Ciudad de México,8200
594,"Av taxqueña 1530, Ciudad de México",Av taxqueña 1530,Campestre Churubusco,Ciudad de México,4200
595,"Misterios No. 89, Ciudad de México",Misterios No. 89,Peralvillo,Ciudad de México,6220
596,"Cda. Ahuacan No. 21, Ciudad de México",Cda. Ahuacan No. 21,Cantera Puente de Piedra,Ciudad de México,14040
597,"Prolongación Yácatas #492, Ciudad de México",Prolongación Yácatas #492,Santa Cruz Atoyac,Ciudad de México,3310
598,"Pensamiento 19, Ciudad de México",Pensamiento 19,Ciudad Jardín,Ciudad de México,4370
599,"Agrarismo 8, Ciudad de México",Agrarismo 8,Escandon,Ciudad de México,11800
600,"av san diego N. 88 A, Tlaxcala",av san diego N. 88 A,San Andres Ahuashuatepec,Tlaxcala,90491
601,"CERRADA TULUM MANZANA 23 LOTE 20A, Puebla",CERRADA TULUM MANZANA 23 LOTE 20A,VIVAH,Puebla,72730
602,"amatlan 43, Ciudad de México",amatlan 43,Condesa,Ciudad de México,6140
603,"Zacahuitzco 74, Ciudad de México",Zacahuitzco 74,Del Carmen,Ciudad de México,3540
604,"Calle Rosario Castellanos Manzana 6 Lote 52, Estado de México",Calle Rosario Castellanos Manzana 6 Lote 52,Poesía Mexicana,Estado de México,55249
605,"San Lorenzo 721-4, Ciudad de México",San Lorenzo 721-4,Del Valle,Ciudad de México,3100
606,"Av cuahutemoc 24, Ciudad de México",Av cuahutemoc 24,Doctores,Ciudad de México,6720
608,"Cuba 75, Ciudad de México",Cuba 75,Centro,Ciudad de México,6000
609,"Fuentes Brotantes 26, Ciudad de México",Fuentes Brotantes 26,PORTALES,Ciudad de México,3570
611,"Eugenia 406, Ciudad de México",Eugenia 406,DEL VALLE CENTRO,Ciudad de México,3100
613,"Clavelinas 159, Ciudad de México",Clavelinas 159,NUEVA SANTA MARÍA,Ciudad de México,2800
614,"Av. Río Churubusco 1072, Ciudad de México",Av. Río Churubusco 1072,Nueva Rosita,Ciudad de México,9410
615,"Oriente 4 #35, Ciudad de México",Oriente 4 #35,CUCHILLA DEL TESORO,Ciudad de México,7900
616,"Agustín González de Cossío 109, Ciudad de México",Agustín González de Cossío 109,Del Valle norte,Ciudad de México,3100
617,"Horacio 1003, Ciudad de México",Horacio 1003,Polanco III Seccion,Ciudad de México,11540
618,"Calzada Misterios 330, Ciudad de México",Calzada Misterios 330,Vallejo,Ciudad de México,7870
619,"fresales 18, Ciudad de México",fresales 18,villa del puente,Ciudad de México,14330
620,"Niños Heroes 214, Ciudad de México",Niños Heroes 214,SAN PEDRO MÁRTIR,Ciudad de México,14650
622,"Cerro del Agua 179, Edificio Venezuela Entrada D, 202., Ciudad de México","Cerro del Agua 179, Edificio Venezuela Entrada D, 202.",Unidad Habitacional Integración Latinoamericana,Ciudad de México,4350
623,"Ave. Coyoacán 1870, Ciudad de México",Ave. Coyoacán 1870,ACACIAS,Ciudad de México,3240
624,"PROLOGACION OAXACA MZ 65 LT 37, Ciudad de México",PROLOGACION OAXACA MZ 65 LT 37,Peña Alta,Ciudad de México,13540
625,"Av.Peralvillo. #123, Ciudad de México",Av.Peralvillo. #123,Morelos,Ciudad de México,6200
626,"Niños Héroes de Chapultepec 102, Ciudad de México",Niños Héroes de Chapultepec 102,Niños Héroes de Chapultepec,Ciudad de México,3440
627,"Río Ebro 35, Ciudad de México",Río Ebro 35,CUAUHTEMOC,Ciudad de México,6500
628,"avenida 1 numero 62, Ciudad de México",avenida 1 numero 62,San Pedro de los Pinos,Ciudad de México,3800
630,"Chinalpopoca 1, Ciudad de México",Chinalpopoca 1,Obrera,Ciudad de México,6800
631,"Bosques de niamey No. 12, Estado de México",Bosques de niamey No. 12,Bosques de Aragón,Estado de México,57170
633,"San Francisco xocotitla 74, Ciudad de México",San Francisco xocotitla 74,DEL GAS,Ciudad de México,2950
636,"calzada ignacio zaragoza 639, Ciudad de México",calzada ignacio zaragoza 639,puebla,Ciudad de México,15020
638,"Rio Danubio 36, Ciudad de México",Rio Danubio 36,Cuahutemoc,Ciudad de México,6500
639,"Arteaga 49, Ciudad de México",Arteaga 49,Guerrero,Ciudad de México,6300
640,"JOSÉ MARTÍ 125, Ciudad de México",JOSÉ MARTÍ 125,Escandon,Ciudad de México,11800
641,"Georgia 63, Ciudad de México",Georgia 63,Napoles,Ciudad de México,8310
642,"Monte Albán 517, Ciudad de México",Monte Albán 517,Independencia,Ciudad de México,3630
643,"Mosqueta 42, Ciudad de México",Mosqueta 42,Guerrero,Ciudad de México,6300
644,"Monte Chimborazo 563, Ciudad de México",Monte Chimborazo 563,Lomas de Chapultepec,Ciudad de México,11000
645,"Republica de Peru NO. 48, Ciudad de México",Republica de Peru NO. 48,Centro,Ciudad de México,6010
646,"Ferrocarril de Cuernavaca 13, condominio Taua. Torre 3 Depto 1505, Ciudad de México","Ferrocarril de Cuernavaca 13, condominio Taua. Torre 3 Depto 1505",CAROLA,Ciudad de México,1180
647,"Bengala 57, Ciudad de México",Bengala 57,Zacahuitzco,Ciudad de México,3550
649,"Pedro Romero de Terreros 926-2 entre Nicolás de San Juan y Gabriel Mancera, Ciudad de México",Pedro Romero de Terreros 926-2 entre Nicolás de San Juan y Gabriel Mancera,Del Valle,Ciudad de México,3100
650,"Cerrada de callejón general Anaya 77 San Diego Churubusco, Ciudad de México",Cerrada de callejón general Anaya 77 San Diego Churubusco,San Diego Churubusco,Ciudad de México,4120
651,"Chiapas 22, Ciudad de México",Chiapas 22,Roma Norte,Ciudad de México,6700
653,"Mar Caribe 14, Ciudad de México",Mar Caribe 14,Popotla,Ciudad de México,11400
654,"San francisco 334, del valle centro, Ciudad de México","San francisco 334, del valle centro",DEL VALLE CENTRO,Ciudad de México,3100
655,"Periférico sur 1661 edificio a4, Ciudad de México",Periférico sur 1661 edificio a4,Torres de mixcoac,Ciudad de México,1490
656,"Hacienda mazatepec 112, Ciudad de México",Hacienda mazatepec 112,RINCONADA COAPA,Ciudad de México,14330
657,"Doctor olvera 106 departamento 2 col. Doctores cp 06720, Ciudad de México",Doctor olvera 106 departamento 2 col. Doctores cp 06720,Doctores,Ciudad de México,6700
658,"MITLA 79, Ciudad de México",MITLA 79,Narvarte,Ciudad de México,3020
659,"Minería 96, Ciudad de México",Minería 96,Escandon,Ciudad de México,11800
660,"Ferrocarril de Cuernavaca 13 San Pedro de los Pinos, Ciudad de México",Ferrocarril de Cuernavaca 13 San Pedro de los Pinos,San Pedro de los Pinos,Ciudad de México,1180
662,"Avenida Santa Lucía 812, Ciudad de México",Avenida Santa Lucía 812,Colinas del sur,Ciudad de México,1430
663,"Ana María Mier No 16-1, Ciudad de México",Ana María Mier No 16-1,Del Valle,Ciudad de México,3100
664,"Tabasco 41, Ciudad de México",Tabasco 41,Roma Norte,Ciudad de México,6700
665,"Juan Escutia 94, Ciudad de México",Juan Escutia 94,Condesa,Ciudad de México,6140
668,"Manzana F Lote 24 Edificio B Departamento 504, Estado de México",Manzana F Lote 24 Edificio B Departamento 504,"San Rafael, Coacalco",Estado de México,55719
669,"Marquez Sterling 25, Ciudad de México",Marquez Sterling 25,Centro,Ciudad de México,6070
670,"Niños héroes de chapultepec # 151 entre bolivar y galicia, Ciudad de México",Niños héroes de chapultepec # 151 entre bolivar y galicia,Niños Héroes de Chapultepec,Ciudad de México,3440
671,"Conocido, Morelos",Conocido,"Apotla, xoxocotla",Morelos,62220
672,"avenida tamaulipas 1172-2, Ciudad de México",avenida tamaulipas 1172-2,santa lucia,Ciudad de México,1500
673,"Oriente 69 # 2829, Ciudad de México",Oriente 69 # 2829,Ampliación Asturias,Ciudad de México,6890
674,"FC interoceánico 42, Ciudad de México",FC interoceánico 42,Ampliación Penitenciaría.,Ciudad de México,15280
676,"Manuel de la Peña y Peña mz 28 lote 11, Ciudad de México",Manuel de la Peña y Peña mz 28 lote 11,Presidentes de México,Ciudad de México,9740
677,"Residencial, Chiapas",Residencial,No lo sé,Chiapas,29160
678,"Emiliano Zapata 15, Ciudad de México",Emiliano Zapata 15,Santa Rosa Xochiac,Ciudad de México,1830
679,"Viaducto Miguel Aleman 178 bis, Ciudad de México",Viaducto Miguel Aleman 178 bis,Del Valle norte,Ciudad de México,3103
680,"Edificio 15 de Septiembre A-103 Tlatelolco 3a seccion, Ciudad de México",Edificio 15 de Septiembre A-103 Tlatelolco 3a seccion,Tlatelolco,Ciudad de México,6900
681,"Mar Mediterráneo 186, Ciudad de México",Mar Mediterráneo 186,Popotla,Ciudad de México,11400
682,"Viaducto Miguel Alemán 38, Ciudad de México",Viaducto Miguel Alemán 38,Atenor Salas,Ciudad de México,3010
683,"Calle piraña, Ciudad de México",Calle piraña,Del mar,Ciudad de México,13270
684,"Miguel Laurent 1262 # 10, Ciudad de México",Miguel Laurent 1262 # 10,LETRAN VALLE,Ciudad de México,3650
686,"Av. Chapultepec 332, Ciudad de México",Av. Chapultepec 332,Roma Norte,Ciudad de México,6700
688,"Eduardo Molina 436, Ciudad de México",Eduardo Molina 436,Ampliación Michoacana,Ciudad de México,15240
689,"Sor juana ines de la cruz 150, Ciudad de México",Sor juana ines de la cruz 150,Santa maria la ribera,Ciudad de México,6400
690,"Súper manzana 1 manzana 16 edifico 1 letra g cp 09220, Ciudad de México",Súper manzana 1 manzana 16 edifico 1 letra g cp 09220,Ejército constitucionalista,Ciudad de México,9220
691,"Jesús m Carrión 26, Ciudad de México",Jesús m Carrión 26,Santa Martha Acatitla,Ciudad de México,9310
692,"Sanchez azcona 1645, Ciudad de México",Sanchez azcona 1645,Del Valle,Ciudad de México,3100
693,"Alborada 160, Ciudad de México",Alborada 160,Parques del pedregal,Ciudad de México,14010
694,"Niños Heroes 214, Ciudad de México",Niños Heroes 214,SAN PEDRO MÁRTIR,Ciudad de México,14650
695,"Unión 27, Ciudad de México",Unión 27,Escandon,Ciudad de México,11800
696,"Lago Athabasca 223, Ciudad de México",Lago Athabasca 223,San Diego Ocoyoacac,Ciudad de México,11290
697,"Av. Toltecas 166, Ciudad de México",Av. Toltecas 166,Carols,Ciudad de México,1180
698,"nigromante, 26, Ciudad de México","nigromante, 26",Independencia,Ciudad de México,3630
699,"Reina Xochitl 8B, Ciudad de México",Reina Xochitl 8B,Barrio Asuncion,Ciudad de México,8600
701,"Tabasco 300, Ciudad de México",Tabasco 300,Roma Norte,Ciudad de México,6700
703,"Avenida ozuluama 26, Ciudad de México",Avenida ozuluama 26,HIPÓDROMO,Ciudad de México,6100
704,"Calle Miramar mz 8 lt 131 código postal 14400 col san andres totoltepec (o divisadero) DF TLALPAN, Ciudad de México",Calle Miramar mz 8 lt 131 código postal 14400 col san andres totoltepec (o divisadero) DF TLALPAN,San Andrés totoltepec,Ciudad de México,14400
705,"Callejón San Vicente #5, Ciudad de México",Callejón San Vicente #5,Barrio Agualpa,Ciudad de México,16500
706,"Céfiro 12, Ciudad de México",Céfiro 12,Pedregal de Carrasco,Ciudad de México,4700
708,"Francisco Rojas González #11 int.1, Ciudad de México",Francisco Rojas González #11 int.1,Vista Alegre,Ciudad de México,6860
709,"sinaloa 43 entre medellin y monterrey, Ciudad de México",sinaloa 43 entre medellin y monterrey,Roma Norte,Ciudad de México,6700
710,"Ignacio Zaragoza Sur 12, Estado de México",Ignacio Zaragoza Sur 12,"Lomas de Atizapán, 2da Sección",Estado de México,529777
711,"Av. Culturas edif 84 depto 202, unidad Manuel Rivera Anaya croc 1, Ciudad de México","Av. Culturas edif 84 depto 202, unidad Manuel Rivera Anaya croc 1","El Rosario, azcapotzalco",Ciudad de México,2109
712,"Moras 551, Ciudad de México",Moras 551,Del Valle,Ciudad de México,3104
713,"Córdoba 128, Ciudad de México",Córdoba 128,Roma Norte,Ciudad de México,6700
714,"dr velez numero 32, Ciudad de México",dr velez numero 32,Doctores,Ciudad de México,6720
715,"Sevilla 611, Ciudad de México",Sevilla 611,PORTALES NORTE,Ciudad de México,3300
716,"Hacienda de Tenango - Hidalgo 1, Morelos",Hacienda de Tenango - Hidalgo 1,Tenango,Morelos,62977
717,"Av. Coyoacán, Ciudad de México",Av. Coyoacán,Del Valle,Ciudad de México,3100
719,"calle 4 #225, Ciudad de México",calle 4 #225,barrio santa barbara,Ciudad de México,9000
720,"Fernando Ramirez 121, Ciudad de México",Fernando Ramirez 121,Obrera,Ciudad de México,6800
721,"BOULEVARD BOSQUE REAL 7100 COLONIA SAN BARTOLOME COATEPEC HUIXQUILUCAN ESTADO DE MEXICO, Estado de México",BOULEVARD BOSQUE REAL 7100 COLONIA SAN BARTOLOME COATEPEC HUIXQUILUCAN ESTADO DE MEXICO,SAN BARTOLOME COATEPEC,Estado de México,52770
722,"Municipio Libre número 47, Ciudad de México",Municipio Libre número 47,PORTALES ORIENTE,Ciudad de México,3570
724,"Querétaro 170, Ciudad de México",Querétaro 170,Roma Norte,Ciudad de México,6700
725,"Alborada 130, Ciudad de México",Alborada 130,Parques del pedregal,Ciudad de México,14010
726,"Calle de la constitucion 10, colonia escandón, Ciudad de México","Calle de la constitucion 10, colonia escandón",Escandon seccion 1,Ciudad de México,11800
727,"Lisboa 17 esquina general prim, Ciudad de México",Lisboa 17 esquina general prim,JUÁREZ,Ciudad de México,6600
729,"Aguascalientes 12, Ciudad de México",Aguascalientes 12,ROMA SUR,Ciudad de México,6760
730,"Tiburcio Sanchez de la Barquera, Ciudad de México",Tiburcio Sanchez de la Barquera,Merced Gomez,Ciudad de México,3930
731,"Jose lopez portillo 3 edificio fenicia A Depto 402, Ciudad de México",Jose lopez portillo 3 edificio fenicia A Depto 402,Consejo agrarista mexicano,Ciudad de México,9760
732,"Cerrada de prolongación división del norte #5591 jardines del sur xochimilco, Ciudad de México",Cerrada de prolongación división del norte #5591 jardines del sur xochimilco,Jardines del sur,Ciudad de México,16050
733,"Felipe Angeles Mz. 82, Lote 1002, Ciudad de México","Felipe Angeles Mz. 82, Lote 1002",Ejidos de Santa Maria Aztahuacan,Ciudad de México,9570
736,"Antonio Rodríguez 26, Ciudad de México",Antonio Rodríguez 26,San Simón Ticumac,Ciudad de México,3660
737,"Nayarit 12Bis, Ciudad de México",Nayarit 12Bis,ROMA SUR,Ciudad de México,6760
738,"Amores 715, Ciudad de México",Amores 715,Del Valle,Ciudad de México,3100
739,"Morena 555, Ciudad de México",Morena 555,Narvarte,Ciudad de México,3020
740,"Puerto Topolobampo 134, Ciudad de México",Puerto Topolobampo 134,Casas alemán,Ciudad de México,7580
741,"Eje 1 poniente Av Cuauhtémoc 1394, Ciudad de México",Eje 1 poniente Av Cuauhtémoc 1394,Santa Cruz Atoyac,Ciudad de México,3314
742,"Rio pánuco 168, Ciudad de México",Rio pánuco 168,CUAUHTEMOC,Ciudad de México,6500
743,"Agustín Melgar #106, Ciudad de México",Agustín Melgar #106,Guadalupe del Moral,Ciudad de México,9300
746,"Anaxagoras 735, Ciudad de México",Anaxagoras 735,NARVARTE PONIENTE,Ciudad de México,3020
747,"Mesones 37, Ciudad de México",Mesones 37,Centro,Ciudad de México,6080
748,"Av.centenario 1080 int.30 unidad habitacional la pera xochinahuac, Ciudad de México",Av.centenario 1080 int.30 unidad habitacional la pera xochinahuac,Martinica,Ciudad de México,1645
749,"norte 9, Ciudad de México",norte 9,Moctezuma segunda sección,Ciudad de México,15530
751,"Av. Palmas 805 torre 1 piso 7, Ciudad de México",Av. Palmas 805 torre 1 piso 7,Lomas de Chapultepec,Ciudad de México,11000
752,"Río Lerma 156, Ciudad de México",Río Lerma 156,CUAUHTEMOC,Ciudad de México,6500
753,"Querétaro 18, Roma Norte, Delegación Cuauhtémoc. 06700, Ciudad de México","Querétaro 18, Roma Norte, Delegación Cuauhtémoc. 06700",Roma Norte,Ciudad de México,6700
754,"Laguna de Guzmán 24, Ciudad de México",Laguna de Guzmán 24,Anahuac,Ciudad de México,11320
755,"Av. Coyoacán #1435, Edificio A, interior 302-A, Ciudad de México","Av. Coyoacán #1435, Edificio A, interior 302-A",Colonia Del Valle,Ciudad de México,3100
756,"bosques de argelia 40 int 3, Estado de México",bosques de argelia 40 int 3,Bosques de Aragón,Estado de México,57170
757,"Avenida Coyoacán 133, Ciudad de México",Avenida Coyoacán 133,Del Valle,Ciudad de México,3100
758,"Emilio Balli edificio F, colonia Cabeza de Juárez 1, del. Iztapalapa, cdmx, Ciudad de México","Emilio Balli edificio F, colonia Cabeza de Juárez 1, del. Iztapalapa, cdmx",Cabeza de Juárez 1,Ciudad de México,9227
759,"mexicali 40, Ciudad de México",mexicali 40,Hipódromo Condesa,Ciudad de México,6140
760,"tabasco 324, Ciudad de México",tabasco 324,Roma,Ciudad de México,6700
761,"Emerson 130, Ciudad de México",Emerson 130,POLANCO,Ciudad de México,11590
763,"CHICHENITZA 307, Ciudad de México",CHICHENITZA 307,LETRAN VALLE,Ciudad de México,3650
764,"Country Club 75, Ciudad de México",Country Club 75,Country Club,Ciudad de México,4220
767,"Emiliano Zapata 229 Col. Nueva Santa Anita, Ciudad de México",Emiliano Zapata 229 Col. Nueva Santa Anita,Col.Nueva Santa Anita,Ciudad de México,8210
768,"Victor Hugo 18, Ciudad de México",Victor Hugo 18,ANZURES,Ciudad de México,11590
769,"Chapultepec 176a esquina Flora, Ciudad de México",Chapultepec 176a esquina Flora,Roma Norte,Ciudad de México,6700
772,"Privada fernando montes de Oca 14 depto 202, Ciudad de México",Privada fernando montes de Oca 14 depto 202,Condesa,Ciudad de México,6140
773,"Calle 19 Número 10, Estado de México",Calle 19 Número 10,Jardines de Santa Clara,Estado de México,55450
774,"Eucalipto 22 1502 ef, Estado de México",Eucalipto 22 1502 ef,Jesus del monte,Estado de México,52764
775,"Calle Sol Mz 2 Lt 6, Ciudad de México",Calle Sol Mz 2 Lt 6,Consejo agrarista mexicano,Ciudad de México,9760
776,"Bosque de capulines 173, bosques de las lomas, Ciudad de México","Bosque de capulines 173, bosques de las lomas",BOSQUES DE LAS LOMAS,Ciudad de México,11700
777,"Niños heroes de chapultepec 33 int 5, Ciudad de México",Niños heroes de chapultepec 33 int 5,Niños Héroes de Chapultepec,Ciudad de México,3440
778,"Amsterdam 213, Ciudad de México",Amsterdam 213,Condesa,Ciudad de México,6700
779,"Monzon 248, Ciudad de México",Monzon 248,Cerro de la estrella,Ciudad de México,9860
780,"AVENIDA CANAL DE TEZONTLE NO. 121, Ciudad de México",AVENIDA CANAL DE TEZONTLE NO. 121,INFONAVIT IZTACALCO,Ciudad de México,8900
782,"Piedra de sol 5, Ciudad de México",Piedra de sol 5,Avante,Ciudad de México,4460
783,"Primera Cerrada de Francisco Villa #79, Ciudad de México",Primera Cerrada de Francisco Villa #79,Las Animas,Ciudad de México,16749
784,"Tezonapa 73, Ciudad de México",Tezonapa 73,Santa María Maninalco,Ciudad de México,2050
786,"Insurgentes sur 1677, Ciudad de México",Insurgentes sur 1677,GUADALUOE INN,Ciudad de México,1020
787,"lago de chapala 26, Ciudad de México",lago de chapala 26,Anahuac 2a secc,Ciudad de México,11320
788,"San Juan del río 17, Ciudad de México",San Juan del río 17,Miguel Hidalgo,Ciudad de México,14260
789,"Privada de los sauces #12, Ciudad de México",Privada de los sauces #12,LA CEBADA SAN LORENZO,Ciudad de México,16050
790,"Viaducto Miguel aleman 115, Ciudad de México",Viaducto Miguel aleman 115,ROMA SUR,Ciudad de México,6760
791,"Ixcateopan 139, Ciudad de México",Ixcateopan 139,LETRAN VALLE,Ciudad de México,3650
792,"Sur 79-A #332, Ciudad de México",Sur 79-A #332,Sinatel,Ciudad de México,9470
793,"Dallas 53, Ciudad de México",Dallas 53,Napoles,Ciudad de México,3810
794,"Privada de las rosas no.10 xaxala, chiautempan, tlaxcala, Tlaxcala","Privada de las rosas no.10 xaxala, chiautempan, tlaxcala",Xaxala,Tlaxcala,90806
795,"Peten 355, Ciudad de México",Peten 355,Narvarte,Ciudad de México,3020
797,"Manuel José Othon 107, Ciudad de México",Manuel José Othon 107,Obrera,Ciudad de México,6800
798,"Pedro Antonio de las santos 50, Ciudad de México",Pedro Antonio de las santos 50,SAN MIGUEL CHAPULTEPEC,Ciudad de México,11000
799,"Calzada de tlalpan 2602, Ciudad de México",Calzada de tlalpan 2602,Emiliano Zapata,Ciudad de México,4815
800,"Calzada Taxqueña 1891, Ciudad de México",Calzada Taxqueña 1891,San Francisco Culhuacan,Ciudad de México,4260
801,"filipinas 223 interior 101, Ciudad de México",filipinas 223 interior 101,PORTALES,Ciudad de México,3300
802,"Calle 2, No. 225, Ciudad de México","Calle 2, No. 225",Granjas San Antonio,Ciudad de México,9070
803,"Calle 7 Num 82, Ciudad de México",Calle 7 Num 82,San Pedro de los Pinos,Ciudad de México,3800
804,"1 de mayo número 5, Ciudad de México",1 de mayo número 5,Santa Rosa Xochiac,Ciudad de México,1830
805,"Guanajuato #51, Ciudad de México",Guanajuato #51,Roma Norte,Ciudad de México,6700
806,"Calle Platino, 34, Ciudad de México","Calle Platino, 34",Valle Gomez,Ciudad de México,6240
807,"Tenorios 224, Ciudad de México",Tenorios 224,Granjas Coapa,Ciudad de México,14330
808,"Calle hidalgo #3, Ciudad de México",Calle hidalgo #3,Santa maria nativitas xochimilco,Ciudad de México,16450
809,"4ta de paseo chico 14, Ciudad de México",4ta de paseo chico 14,Paseos de Taxqueña,Ciudad de México,4250
811,"Av. rio de los remedios #15 UH Santiago Atepetlac A-5, Ciudad de México",Av. rio de los remedios #15 UH Santiago Atepetlac A-5,Progreso Nacional,Ciudad de México,7640
812,"Gemelos 89, Ciudad de México",Gemelos 89,PRADO CHURUBUSCO,Ciudad de México,4230
813,"Av. eugenia no 1415, Ciudad de México",Av. eugenia no 1415,NARVARTE PONIENTE,Ciudad de México,3020
815,"Providencia 1003-601, Ciudad de México",Providencia 1003-601,DEL VALLE CENTRO,Ciudad de México,3100
816,"Viaducto Tlalpan #26 Interior 3, Ciudad de México",Viaducto Tlalpan #26 Interior 3,San Lorenzo Huipulco,Ciudad de México,14370
